ID ÚNICO - RESPONDENTE,MÊS PESQUISA
SPELI4009,SIM - 05/2024
TOKEI3884,SIM - 05/2024
RJCLA9797,SIM - 05/2024
CEMAR6972,SIM - 05/2024
SCRIT5621,SIM - 05/2024
SCGUS2327,SIM - 05/2024
SPSEL5644,SIM - 05/2024
AMMAR4286,SIM - 05/2024
PRVER6682,SIM - 05/2024
SPALE8441,SIM - 05/2024
SPNIL6001,SIM - 05/2024
RRTAS3389,SIM - 05/2024
PRJOS8694,SIM - 05/2024
PRLOR0772,SIM - 05/2024
SPRAF4781,SIM - 05/2024
PEGAB3360,SIM - 05/2024
RNELE0340,SIM - 05/2024
ALJOS7653,SIM - 05/2024
PBJOS6945,SIM - 05/2024
SPJOS1616,SIM - 05/2024
SEMIC5366,SIM - 05/2024
CEFRA3441,SIM - 05/2024
ALCLA6660,SIM - 05/2024
BASID5522,SIM - 05/2024
ALJOS1018,SIM - 05/2024
CESAI4151,SIM - 05/2024
ALMAT9028,SIM - 05/2024
PEANA2432,SIM - 05/2024
MAEDS1346,SIM - 05/2024
CEDAN5024,SIM - 05/2024
CEJOÃ3540,SIM - 05/2024
ALROS8937,SIM - 05/2024
CELUC6426,SIM - 05/2024
CEALE8218,SIM - 05/2024
BACRI0342,SIM - 05/2024
ALELI0347,SIM - 05/2024
ALSIL1779,SIM - 05/2024
AMRON2989,SIM - 05/2024
BALIL4649,SIM - 05/2024
SCLEO2239,SIM - 05/2024
MGMAR0387,SIM - 05/2024
BAMAR2757,SIM - 05/2024
SPJOS8167,SIM - 05/2024
SPREI0635,SIM - 05/2024
PRIGO0402,SIM - 05/2024
PIJUS0707,SIM - 05/2024
DFIRE5682,SIM - 05/2024
BAVER0893,SIM - 05/2024
AMJOS0291,SIM - 05/2024
CEANA6207,SIM - 05/2024
RNANA7009,SIM - 05/2024
CELIN0691,SIM - 05/2024
ALAMA2964,SIM - 05/2024
ALNOE1940,SIM - 05/2024
ALLEV9486,SIM - 05/2024
PRALV2226,SIM - 05/2024
TOJEF6471,SIM - 05/2024
RRYUK2126,SIM - 05/2024
APALI9412,SIM - 05/2024
PARAI0607,SIM - 05/2024
AMALA6888,SIM - 05/2024
PACOS2601,SIM - 05/2024
AMVER7494,SIM - 05/2024
ROSAN4022,SIM - 05/2024
APSIM8744,SIM - 05/2024
AMJUS8611,SIM - 05/2024
AMANT0598,SIM - 05/2024
ROMAR1813,SIM - 05/2024
AMBER3611,SIM - 05/2024
ALELI7516,SIM - 05/2024
ROMAT8389,SIM - 05/2024
TOHEI3430,SIM - 05/2024
PAANA8220,SIM - 05/2024
AMSAN8198,SIM - 05/2024
AMFAB5302,SIM - 05/2024
PAMAR4357,SIM - 05/2024
PAISM2002,SIM - 05/2024
MACAR2294,SIM - 05/2024
PACIN6228,SIM - 05/2024
PRGIL7014,SIM - 05/2024
TOBEN1801,SIM - 05/2024
TOMUR0520,SIM - 05/2024
PAELI3529,SIM - 05/2024
TOTAY6063,SIM - 05/2024
PAOSV0721,SIM - 05/2024
TOMAR2157,SIM - 05/2024
TOLEI2123,SIM - 05/2024
AMJON8498,SIM - 05/2024
ROJOS2719,SIM - 05/2024
PAJOS6472,SIM - 05/2024
MALUI3436,SIM - 05/2024
ALIZA2501,SIM - 05/2024
